candidate,objective_J,C0_star,mean_IS,mean_variable_payment,mean_agent_YT,mean_terminal_inventory,mean_clip_count,hjb_seconds,mc_seconds,beta_0,beta_1,beta_2
63,13.712929906869462,1.9426014653336785,13.709873408222656,91.76727194288898,-1.938875634506757,0.3175757575757575,0.0,15.104750099999364,0.29436509998049587,1.0,1.0,1.5
71,15.455180576172864,0.0,15.452182585939008,95.45218258593901,12.770068690198123,0.052895622895622864,0.0,15.146778900001664,0.3210733999731019,1.0,2.0,0.5
87,15.82861735231289,0.0,15.825938759675951,95.82593875967595,4.506179488751031,0.28962962962962957,0.0,15.30403820000356,0.3206353000132367,1.5,1.0,1.0
83,16.26483673044811,2.298321423374835,16.262194266791543,93.96387284341671,-2.270127500941288,0.35511784511784505,0.0,15.212866400019266,0.2959091000375338,1.5,0.5,1.5
103,16.29163193725455,0.0,16.289328793109227,96.28932879310922,12.372654761146865,0.1382491582491582,0.0,14.939168000011705,0.30404019996058196,2.0,0.0,1.5
67,16.81198988489608,3.251730519632368,16.808995468228467,93.5572649485961,-3.245516681052505,0.35942760942760943,0.0,15.22963349998463,0.2933403999777511,1.0,1.5,1.0
91,17.63648485709335,0.0,17.63389301702117,97.63389301702115,15.430517367471964,0.05124579124579118,0.0,14.933159000007436,0.299601899983827,1.5,1.5,0.5
107,18.081692374933326,0.0,18.07939024705236,98.07939024705236,13.499270538325488,0.15569023569023566,0.0,15.114304599992465,0.2902716000098735,2.0,0.5,1.0
24,18.897217180367036,0.0,18.892034593311116,98.89203459331111,12.928351228647658,0.11653198653198646,0.0,14.26009100000374,0.29928739997558296,0.0,2.0,2.0
95,19.39133533599781,0.0,19.388740920802043,99.38874092080205,17.643385257828292,0.0018855218855218887,0.0,15.720344999979716,0.29346720001194626,1.5,2.0,0.0
111,19.841872642282567,0.0,19.839633660289532,99.83963366028952,17.82042542198819,0.0632996632996633,0.0,14.420781599998008,0.2908295000088401,2.0,1.0,0.5
44,20.99881044842209,0.0,20.994211843578803,100.9942118435788,7.617861032882411,0.29841750841750836,0.0,14.936470899963751,0.3001865000114776,0.5,1.5,2.0
115,21.619630714579642,0.0,21.617423834639812,101.61742383463981,19.7305911749299,0.046161616161616154,0.0,14.223677100031637,0.29219289997126907,2.0,1.5,0.0
48,22.96110037149043,0.0,22.956377737767482,102.95637773776748,18.381590667166737,0.08895622895622887,0.0,14.415150599961635,0.2905795000260696,0.5,2.0,1.5
64,23.26338329382891,0.0,23.259180352257157,103.25918035225715,14.976952741375207,0.22033670033670025,0.0,14.871589100046549,0.2926179999485612,1.0,1.0,2.0
68,25.061174750741188,0.0,25.05703899984776,105.05703899984776,14.763776225029627,0.26084175084175076,0.0,15.184232999978121,0.31299530004616827,1.0,1.5,1.5
84,25.53155994316542,0.0,25.52768669919623,105.52768669919622,19.347451149710448,0.18902356902356895,0.0,14.80212109995773,0.29511020000791177,1.5,0.5,2.0
72,26.848813093180212,0.0,26.844758543469023,106.84475854346903,13.617448271913153,0.30936026936026934,0.0,14.94044389994815,0.2909755000146106,1.0,2.0,1.0
